2025-03-30 02:03:48,290 | basic_experiment | INFO     | Logging to /mnt/c/Users/garci/Documents/Masters/CSE-584-W25-ANN-Project/data/experiments/basic_experiment (2025-03-30 02:03:48)/basic_experiment.log
2025-03-30 02:03:48,292 | basic_experiment | INFO     | Starting docker container...
2025-03-30 02:04:30,367 | basic_experiment | INFO     | Copying config files to docker container...
2025-03-30 02:05:01,824 | basic_experiment | INFO     | Docker container started.
2025-03-30 02:05:01,824 | basic_experiment | INFO     | Dashboard: http://127.0.0.1:9091/webui/
2025-03-30 02:05:04,100 | basic_experiment | INFO     | Partitions (5): [(0, 199), (200, 399), (400, 599), (600, 799), (800, 999)]
2025-03-30 02:05:05,350 | basic_experiment | INFO     | Collection schema created.
2025-03-30 02:05:51,087 | basic_experiment | INFO     | Collection created.
2025-03-30 02:05:51,093 | basic_experiment | INFO     | Running search...
2025-03-30 02:06:14,666 | basic_experiment | INFO     | Search complete.
2025-03-30 02:06:15,002 | basic_experiment | INFO     | Test succeeded.
2025-03-30 02:06:15,007 | basic_experiment | INFO     | Test saved.
2025-03-30 02:06:15,007 | basic_experiment | INFO     | Cleaning up docker container...
2025-03-30 02:06:26,498 | basic_experiment | INFO     | Docker container stopped and deleted.
